2016-06-04 15:26:56 status unpacked initscripts:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:56 status unpacked initscripts:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:56 install sysvinit-core:amd64 <none> 2.88dsf-59.2+devuan2
2016-06-04 15:26:56 status half-installed sysvinit-core:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:56 status unpacked sysvinit-core:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:56 status unpacked sysvinit-core:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:57 install sysvinit-utils:amd64 <none> 2.88dsf-59.2+devuan2
2016-06-04 15:26:57 status half-installed sysvinit-utils:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:57 status unpacked sysvinit-utils:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:57 status unpacked sysvinit-utils:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:57 install sysv-rc:all <none> 2.88dsf-59.2+devuan2
2016-06-04 15:26:57 status half-installed sysv-rc:all 2.88dsf-59.2+devuan2
2016-06-04 15:26:58 status unpacked sysv-rc:all 2.88dsf-59.2+devuan2
2016-06-04 15:26:58 status unpacked sysv-rc:all 2.88dsf-59.2+devuan2
2016-06-04 15:26:58 install bsdutils:amd64 <none> 1:2.26.2-6+devuan1
2016-06-04 15:26:58 status half-installed bsdutils:amd64 1:2.26.2-6+devuan1
2016-06-04 15:26:58 status unpacked bsdutils:amd64 1:2.26.2-6+devuan1
2016-06-04 15:26:58 status unpacked bsdutils:amd64 1:2.26.2-6+devuan1
2016-06-04 15:26:59 install libblkid1:amd64 <none> 2.26.2-6+devuan1
2016-06-04 15:26:59 status half-installed libblkid1:amd64 2.26.2-6+devuan1
2016-06-04 15:26:59 status unpacked libblkid1:amd64 2.26.2-6+devuan1
2016-06-04 15:26:59 status unpacked libblkid1:amd64 2.26.2-6+devuan1
2016-06-04 15:26:59 install libfdisk1:amd64 <none> 2.26.2-6+devuan1
2016-06-04 15:26:59 status half-installed libfdisk1:amd64 2.26.2-6+devuan1
2016-06-04 15:26:59 status unpacked libfdisk1:amd64 2.26.2-6+devuan1
2016-06-04 15:26:59 status unpacked libfdisk1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:00 install libmount1:amd64 <none> 2.26.2-6+devuan1
2016-06-04 15:27:00 status half-installed libmount1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:00 status unpacked libmount1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:00 status unpacked libmount1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:00 install libsmartcols1:amd64 <none> 2.26.2-6+devuan1
2016-06-04 15:27:00 status half-installed libsmartcols1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:00 status unpacked libsmartcols1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:01 status unpacked libsmartcols1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:01 install libuuid1:amd64 <none> 2.26.2-6+devuan1
2016-06-04 15:27:01 status half-installed libuuid1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:01 status unpacked libuuid1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:01 status unpacked libuuid1:amd64 2.26.2-6+devuan1
2016-06-04 15:27:01 install mount:amd64 <none> 2.26.2-6+devuan1
2016-06-04 15:27:01 status half-installed mount:amd64 2.26.2-6+devuan1
2016-06-04 15:27:02 status unpacked mount:amd64 2.26.2-6+devuan1
2016-06-04 15:27:02 status unpacked mount:amd64 2.26.2-6+devuan1
2016-06-04 15:27:02 install util-linux:amd64 <none> 2.26.2-6+devuan1
2016-06-04 15:27:02 status half-installed util-linux:amd64 2.26.2-6+devuan1
2016-06-04 15:27:04 status unpacked util-linux:amd64 2.26.2-6+devuan1
2016-06-04 15:27:04 status unpacked util-linux:amd64 2.26.2-6+devuan1
2016-06-04 15:27:05 install libacl1:amd64 <none> 2.2.52-2
2016-06-04 15:27:05 status half-installed libacl1:amd64 2.2.52-2
2016-06-04 15:27:05 status unpacked libacl1:amd64 2.2.52-2
2016-06-04 15:27:05 status unpacked libacl1:amd64 2.2.52-2
2016-06-04 15:27:05 install libattr1:amd64 <none> 1:2.4.47-2
2016-06-04 15:27:05 status half-installed libattr1:amd64 1:2.4.47-2
2016-06-04 15:27:05 status unpacked libattr1:amd64 1:2.4.47-2
2016-06-04 15:27:05 status unpacked libattr1:amd64 1:2.4.47-2
2016-06-04 15:27:06 install libaudit-common:all <none> 1:2.4-1
2016-06-04 15:27:06 status half-installed libaudit-common:all 1:2.4-1
2016-06-04 15:27:06 status unpacked libaudit-common:all 1:2.4-1
2016-06-04 15:27:06 status unpacked libaudit-common:all 1:2.4-1
2016-06-04 15:27:06 install libaudit1:amd64 <none> 1:2.4-1+b1
2016-06-04 15:27:06 status half-installed libaudit1:amd64 1:2.4-1+b1
2016-06-04 15:27:06 status unpacked libaudit1:amd64 1:2.4-1+b1
2016-06-04 15:27:06 status unpacked libaudit1:amd64 1:2.4-1+b1
2016-06-04 15:27:07 upgrade base-passwd:amd64 3.5.37 3.5.37
2016-06-04 15:27:07 status half-configured base-passwd:amd64 3.5.37
2016-06-04 15:27:07 status unpacked base-passwd:amd64 3.5.37
2016-06-04 15:27:07 status half-installed base-passwd:amd64 3.5.37
2016-06-04 15:27:07 status half-installed base-passwd:amd64 3.5.37
2016-06-04 15:27:07 status unpacked base-passwd:amd64 3.5.37
2016-06-04 15:27:07 status unpacked base-passwd:amd64 3.5.37
2016-06-04 15:27:08 install bash:amd64 <none> 4.3-11+b1
2016-06-04 15:27:08 status half-installed bash:amd64 4.3-11+b1
2016-06-04 15:27:09 status unpacked bash:amd64 4.3-11+b1
2016-06-04 15:27:09 status unpacked bash:amd64 4.3-11+b1
2016-06-04 15:27:09 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2016-06-04 15:27:09 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2016-06-04 15:27:09 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2016-06-04 15:27:09 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2016-06-04 15:27:09 install libdebconfclient0:amd64 <none> 0.192
